trainee_id,location,training_batch,category_tags,rating_score,open_text,week_start_date,week_end_date
T001,Bangalore,L1-2024-B01,"trainer_feedback,training_program",4,"The trainer explained concepts very clearly and was always available for doubts. The pace of training is good and I'm learning a lot about Java fundamentals.",2024-11-25,2024-12-01
T002,Chennai,L1-2024-C01,"infrastructure,engagement_experience",2,"Having issues with laptop performance and network connectivity. It's affecting my ability to follow along with coding exercises. Need better hardware support.",2024-11-25,2024-12-01
T003,Hyderabad,L1-2024-H01,"mentor_support,trainer_feedback",5,"My mentor is fantastic! Always responds quickly to my questions and provides detailed explanations. The trainer makes complex topics easy to understand.",2024-11-25,2024-12-01
T004,Pune,L1-2024-P01,"training_program,assessment",3,"The curriculum is comprehensive but sometimes feels overwhelming. Would appreciate more hands-on practice sessions before assessments.",2024-11-25,2024-12-01
T005,Bangalore,L1-2024-B01,"batch_owner_experience,engagement_experience",4,"Batch owner is very supportive and regularly checks on our progress. The overall learning environment is positive and encouraging.",2024-11-25,2024-12-01
T006,Mumbai,L1-2024-M01,"infrastructure,trainer_feedback",2,"Frequent system crashes during virtual sessions. Trainer is good but technical issues are hampering the learning experience.",2024-11-25,2024-12-01
T007,Chennai,L1-2024-C01,"mentor_support,training_program",4,"Mentor provides excellent guidance on projects. The training content is well-structured and covers all necessary topics for a beginner.",2024-11-25,2024-12-01
T008,Hyderabad,L1-2024-H01,"trainer_feedback,engagement_experience",5,"Outstanding trainer! Makes learning fun and interactive. I look forward to every session. Great use of real-world examples.",2024-11-25,2024-12-01
T009,Pune,L1-2024-P01,"infrastructure,batch_owner_experience",1,"Major connectivity issues throughout the week. Batch owner seems overwhelmed and not very responsive to technical concerns.",2024-11-25,2024-12-01
T010,Bangalore,L1-2024-B02,"training_program,mentor_support",3,"Course material is good but could use more practical examples. Mentor is helpful but sometimes takes time to respond.",2024-11-25,2024-12-01
T011,Mumbai,L1-2024-M01,"trainer_feedback,engagement_experience",4,"Trainer has excellent communication skills and creates an engaging learning atmosphere. Enjoying the interactive coding sessions.",2024-11-25,2024-12-01
T012,Chennai,L1-2024-C02,"assessment,training_program",2,"Assessments are too frequent and stressful. Need more time to practice and understand concepts before being tested.",2024-11-25,2024-12-01
T013,Hyderabad,L1-2024-H01,"mentor_support,infrastructure",4,"Mentor is very knowledgeable and patient. Lab setup is good and software tools are working well for most exercises.",2024-11-25,2024-12-01
T014,Pune,L1-2024-P01,"trainer_feedback,batch_owner_experience",5,"Excellent trainer who goes above and beyond to help students. Batch owner is also very approachable and supportive.",2024-11-25,2024-12-01
T015,Bangalore,L1-2024-B01,"engagement_experience,training_program",3,"Good learning environment but would like more group activities and peer collaboration opportunities in the curriculum.",2024-11-25,2024-12-01
T016,Mumbai,L1-2024-M02,"infrastructure,mentor_support",2,"Network issues persist and it's frustrating. Mentor tries to help but technical problems are beyond their control.",2024-11-25,2024-12-01
T017,Chennai,L1-2024-C01,"trainer_feedback,assessment",4,"Trainer provides clear explanations and good feedback on assignments. Assessment format is fair and tests understanding well.",2024-11-25,2024-12-01
T018,Hyderabad,L1-2024-H02,"training_program,engagement_experience",5,"Love the hands-on approach to learning! The projects are challenging but achievable. Great balance of theory and practice.",2024-11-25,2024-12-01
T019,Pune,L1-2024-P02,"batch_owner_experience,mentor_support",3,"Batch owner is organized but could communicate expectations more clearly. Mentor is supportive and provides good technical guidance.",2024-11-25,2024-12-01
T020,Bangalore,L1-2024-B02,"infrastructure,trainer_feedback",1,"Severe technical issues with development environment setup. Trainer is patient but we're losing valuable learning time due to tech problems.",2024-11-25,2024-12-01
T021,Mumbai,L1-2024-M01,"mentor_support,engagement_experience",4,"Mentor creates a comfortable learning environment where I feel safe to ask questions. Peer interactions are also very positive.",2024-11-25,2024-12-01
T022,Chennai,L1-2024-C02,"training_program,trainer_feedback",3,"Content is comprehensive but delivery could be more engaging. Trainer knows the subject well but presentation style could improve.",2024-11-25,2024-12-01
T023,Hyderabad,L1-2024-H01,"assessment,batch_owner_experience",2,"Assessment pressure is high and batch owner doesn't seem to understand the stress levels. Need better support during exam periods.",2024-11-25,2024-12-01
T024,Pune,L1-2024-P01,"trainer_feedback,infrastructure",4,"Trainer is excellent at explaining complex concepts simply. Lab infrastructure is mostly reliable with occasional minor issues.",2024-11-25,2024-12-01
T025,Bangalore,L1-2024-B01,"engagement_experience,mentor_support",5,"Amazing learning experience! Mentor and trainer work well together to create a supportive and challenging environment.",2024-11-25,2024-12-01
T026,Mumbai,L1-2024-M02,"training_program,infrastructure",2,"Curriculum seems outdated and technical setup is problematic. Need modernized content and better technical support.",2024-11-25,2024-12-01
T027,Chennai,L1-2024-C01,"trainer_feedback,mentor_support",4,"Both trainer and mentor are very supportive. They work as a team to ensure we understand concepts thoroughly before moving forward.",2024-11-25,2024-12-01
T028,Hyderabad,L1-2024-H02,"batch_owner_experience,engagement_experience",3,"Batch owner is well-intentioned but could be more proactive in addressing group concerns. Overall atmosphere is positive though.",2024-11-25,2024-12-01
T029,Pune,L1-2024-P02,"assessment,training_program",1,"Assessments are poorly designed and don't reflect what we've learned. Training material doesn't align well with evaluation criteria.",2024-11-25,2024-12-01
T030,Bangalore,L1-2024-B02,"infrastructure,engagement_experience",3,"Technical setup works most of the time. Would appreciate more interactive sessions and group projects to enhance engagement.",2024-11-25,2024-12-01
